is_post,publish_date,author,url,post_title,comment_count
1,"Thursday, June 30, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/06/assisting-assignments.html,Assisting assignments,0
1,"Monday, June 27, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/06/in-defense-of-latin-in-secondary.html,In defense of Latin in secondary schools,4
1,"Sunday, June 26, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/06/software-review-codeform-and-codeproof.html,Software review: Codeform and Codeproof,2
1,"Monday, June 20, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/06/reviewers-comments.html,Reviewers' comments,4
1,"Sunday, June 19, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/06/how-to-make-your-autobiographical-essay.html,How to make your autobiographical essay stand out,0
1,"Tuesday, June 14, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/06/fib-symposium-2011-paper-and.html,fib Symposium 2011 - paper and presentation,0
1,"Sunday, June 5, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/06/julie-project.html,The Julie Project,0
1,"Monday, May 30, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/05/how-to-get-phd-by-phillip-and-pugh.html,How to get a PhD by Phillips and Pugh,1
1,"Friday, May 27, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/05/leechblock.html,Leechblock,0
1,"Wednesday, May 25, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/05/our-lab-on-tv.html,Our lab on TV,0
1,"Tuesday, May 24, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/05/preparing-presentation-without-slides_24.html,Preparing a presentation without slides - the aftermath,0
1,"Saturday, May 21, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/05/preparing-presentation-without-slides.html,Preparing a presentation without slides,0
1,"Tuesday, May 17, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/05/asce-structures-congress-2011-paper-and.html,ASCE Structures Congress 2011 - paper and presentation,0
1,"Sunday, April 10, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/04/keukenhof.html,Keukenhof,1
1,"Friday, April 8, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/04/four-mindful-habits.html,Four mindful habits,0
1,"Monday, April 4, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/04/unwritten-rules-of-phd-research-gordon.html,The Unwritten Rules of PhD Research - Gordon Rugg and Marian Petre,5
1,"Sunday, April 3, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/04/gremlins-and-procrastination.html,Gremlins and procrastination,4
1,"Monday, March 28, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/03/how-much-time-does-conference-take.html,How much time does a conference take?,3
1,"Sunday, March 27, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/03/decisions-and-priorities.html,Decisions and priorities,8
1,"Saturday, March 19, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/03/mindfulness-update.html,Mindfulness - an update,3
1,"Thursday, March 17, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/03/fe-places-worth-visiting-in-amsterdam.html,A few places worth visiting in Amsterdam,0
1,"Monday, March 14, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/03/afternoon-without-network-connection.html,An afternoon without network connection,2
1,"Thursday, March 10, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/03/phases-of-reading.html,The phases of reading,1
1,"Monday, March 7, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/03/ten-reasons-why-you-should-study-abroad.html,Ten reasons why you should study abroad,2
1,"Sunday, March 6, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/03/lack-of-sleep-part-two.html,Lack of sleep - Part two,0
1,"Friday, March 4, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/03/my-phd-study-companion.html,My PhD study companion,2
1,"Monday, February 28, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/02/my-analysis-report-or-how-to-analyze.html,My analysis report or How to analyze large amounts of test data,1
1,"Sunday, February 27, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/02/reimbursement.html,Reimbursement,0
1,"Saturday, February 26, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/02/strengths-or-challenge.html,Strengths or Challenge?,2
1,"Thursday, February 24, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/02/magritte.html,Magritte,2
1,"Monday, February 21, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/02/seven-simple-steps-to-tackle-writers.html,Seven simple steps to tackle writer's block,4
1,"Thursday, February 17, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/02/five-ways-to-jumpstart-your-day.html,Five ways to jumpstart your day,5
1,"Monday, February 14, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/02/5-tips-to-boost-your-productivity.html,5 tips to boost your productivity,1
1,"Sunday, February 13, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/02/importance-of-good-communication.html,The importance of good communication,0
1,"Monday, February 7, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/02/how-i-started-to-take-my-own-deadlines.html,How I started to take my own deadlines and planning seriously,2
1,"Thursday, February 3, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/02/ten-tips-for-better-concentration.html,Ten tips for a better concentration,5
